50 170
230,242,246 245,252,255 255,254,253 255,249,238 255,249,229 255,254,239 248,247,255 198,231,255 136,195,255 24,90,179 90,141,211 204,225,255 251,248,244 255,255,240 249,250,230 238,251,237 255,253,249 255,254,252 255,254,254 255,252,252 255,248,246 255,251,240 255,255,236 255,255,231 255,255,225 253,255,223 244,255,222 230,243,221 209,218,215 180,186,205 156,158,193 140,140,186 50,113,171 41,101,171 33,90,181 30,86,199 27,81,212 30,84,221 51,104,238 77,131,246 109,156,247 149,190,252 194,222,255 222,235,249 239,234,235 255,234,229 255,239,233 255,243,236 248,255,172 255,255,189 255,255,210 255,255,233 255,246,248 255,234,255 255,234,255 255,238,255 255,242,255 255,247,251 255,253,246 247,255,247 230,255,251 212,255,255 196,255,255 189,255,255 232,244,255 233,242,255 235,239,255 242,240,255 255,246,255 255,251,250 255,252,245 255,253,239 255,248,232 255,251,236 255,253,244 255,253,250 246,250,255 234,248,255 228,248,255 225,248,255 243,255,237 244,255,240 246,255,245 247,255,250 249,254,255 249,251,255 248,248,255 249,246,255 253,249,255 248,245,254 249,247,247 255,253,245 255,255,241 255,255,234 255,255,230 255,255,232 245,253,243 249,255,247 250,255,251 247,254,249 244,253,250 245,253,253 241,250,253 236,245,249 244,251,255 244,250,255 244,250,255 246,249,255 246,249,255 246,249,255 246,249,255 248,248,255 255,255,255 255,255,255 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 252,252,252 252,252,252 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 246,246,246 251,251,251 252,252,252 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 252,252,252 252,252,252 251,251,251 250,250,250 254,254,254 254,254,254
240,247,255 246,253,255 255,255,252 255,254,234 255,254,226 255,254,233 243,237,248 192,213,255 78,126,214 30,90,180 150,198,255 223,248,255 254,255,242 252,247,222 251,248,234 251,255,255 252,247,255 254,247,255 255,249,255 255,247,255 254,245,255 253,246,255 255,251,255 255,255,254 238,246,235 240,250,237 241,255,244 241,255,254 238,248,255 230,239,255 224,229,255 220,222,255 193,233,255 178,217,255 154,194,255 129,168,253 98,138,240 69,112,223 48,95,210 40,92,199 33,86,183 45,99,184 60,111,184 76,122,186 101,141,200 137,169,228 170,195,255 190,211,255 205,241,255 206,239,255 207,238,255 212,237,255 222,241,255 234,244,255 245,247,255 255,252,244 255,254,229 255,255,221 255,255,221 255,255,222 255,255,225 255,253,230 255,253,239 255,254,246 237,249,231 240,251,235 245,255,242 248,255,249 248,255,252 246,255,255 246,255,255 242,251,255 221,229,236 227,235,242 236,243,252 246,252,255 248,254,255 248,254,255 249,253,255 247,252,255 242,253,250 241,253,247 239,252,244 241,253,241 242,255,239 247,255,241 251,255,242 253,255,242 255,255,244 255,255,243 255,253,245 255,254,251 255,252,255 255,248,255 255,245,255 255,247,255 249,251,251 251,253,253 248,253,252 244,248,249 244,249,250 249,254,255 250,255,255 248,255,255 247,255,254 247,255,254 249,255,253 248,255,252 248,255,250 248,255,250 249,255,249 249,255,249 255,255,255 253,253,253 251,251,251 251,251,251 253,253,253 254,254,254 253,253,253 253,253,253 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 252,252,252 253,253,253 253,253,253 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 253,253,253 252,252,252 252,252,252 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 254,254,254 253,253,253 251,251,251 250,250,250 250,250,250 244,244,244 236,236,236 250,250,250 250,250,250 251,251,251 252,252,252 253,253,253 253,253,253 252,252,252 252,252,252 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 252,252,252 251,251,251 251,251,251 255,255,255 255,255,255
246,245,255 246,250,255 251,255,251 255,255,229 255,255,221 255,255,232 248,235,249 198,207,255 98,131,228 54,103,195 174,221,255 216,246,251 247,255,229 246,242,214 245,236,232 251,244,255 255,252,253 255,251,255 255,248,255 255,243,255 250,236,255 245,232,255 243,231,253 241,234,249 254,252,255 252,254,255 248,253,254 244,252,255 241,248,255 238,245,255 235,240,255 235,238,255 242,243,255 240,242,255 234,238,255 227,234,255 220,231,255 210,226,255 191,213,255 170,199,255 145,182,255 115,160,247 74,126,220 36,97,195 18,85,188 16,88,195 18,93,203 15,91,203 60,88,253 77,109,255 104,142,255 132,179,255 156,208,255 174,229,255 191,242,255 207,249,248 227,255,243 245,255,238 255,255,235 255,252,228 255,244,223 255,244,227 255,252,237 255,255,242 255,255,217 255,255,220 255,255,226 248,255,230 240,255,234 234,254,241 232,253,250 233,254,255 236,255,255 233,251,255 234,246,252 236,244,244 244,245,241 251,249,239 255,252,239 255,253,239 240,244,255 238,244,255 235,243,250 234,245,243 236,247,237 238,251,235 240,255,233 242,255,234 248,255,239 245,255,239 245,253,246 248,253,255 249,249,255 246,242,255 246,240,255 249,242,255 251,246,255 250,246,255 246,242,254 238,237,247 238,237,246 246,246,252 252,253,255 253,255,255 252,255,251 252,255,250 252,255,247 252,255,244 252,255,243 254,255,240 254,255,240 254,255,239 255,255,255 253,253,253 251,251,251 251,251,251 253,253,253 254,254,254 253,253,253 253,253,253 253,253,253 249,249,249 245,245,245 245,245,245 250,250,250 254,254,254 255,255,255 255,255,255 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 251,251,251 250,250,250 251,251,251 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 252,252,252 252,252,252 247,247,247 240,240,240 253,253,253 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 252,252,252 252,252,252 252,252,252 255,255,255 255,255,255
245,237,255 242,247,255 242,255,249 250,255,228 255,255,219 255,255,233 255,242,255 228,220,255 147,164,255 56,96,185 149,195,243 216,253,251 249,255,234 255,255,237 255,252,255 255,242,255 255,255,224 255,255,230 255,255,238 255,252,249 255,252,255 255,249,255 255,249,255 255,251,255 255,251,251 255,252,245 255,253,242 253,253,241 251,252,242 247,251,246 249,251,252 248,251,255 255,252,252 255,253,251 255,255,247 255,254,241 255,255,243 255,255,247 255,254,254 248,238,254 229,226,255 218,223,255 204,221,255 187,216,255 168,209,255 137,190,255 95,158,238 64,131,210 49,64,210 53,75,211 50,84,207 41,89,194 33,96,184 43,113,190 70,142,214 94,162,235 126,184,255 151,197,255 180,215,255 203,227,255 219,235,255 227,241,255 231,242,255 231,240,254 251,255,241 254,255,242 253,255,241 253,252,238 253,250,235 255,251,236 255,255,240 255,255,242 255,254,237 255,255,237 255,255,240 255,255,241 255,255,240 255,255,240 255,255,238 255,254,233 255,243,255 255,244,255 255,245,255 255,247,255 253,249,255 250,248,255 248,248,255 243,249,255 238,248,255 235,248,255 232,251,254 234,255,255 230,255,253 224,255,248 225,255,249 227,255,251 255,247,255 254,245,255 248,239,255 241,233,250 240,233,248 246,239,252 251,245,255 252,248,254 255,252,255 255,254,254 255,254,253 255,255,251 255,255,248 255,255,248 255,255,248 255,255,247 255,255,255 255,255,255 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 252,252,252 247,247,247 243,243,243 244,244,244 250,250,250 254,254,254 254,254,254 251,251,251 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 252,252,252 251,251,251 251,251,251 253,253,253 255,255,255 255,255,255 254,254,254 252,252,252 252,252,252 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 252,252,252 251,251,251 252,252,252 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 253,253,253 253,253,253 252,252,252 254,254,254 254,254,254
248,239,255 245,249,255 239,255,255 239,255,233 251,255,219 255,254,226 255,243,251 248,229,255 174,179,255 56,87,172 112,157,208 216,255,255 228,252,234 253,255,245 250,240,253 251,234,255 255,255,227 255,255,230 255,255,236 255,254,244 253,248,249 250,242,253 247,238,251 245,237,248 255,252,255 253,254,252 251,255,247 248,255,245 245,255,242 243,255,242 241,255,242 240,255,244 248,233,255 255,243,255 255,249,255 255,249,239 255,255,231 255,255,233 255,255,235 255,255,241 255,252,254 255,241,255 248,228,255 236,223,255 233,231,255 238,246,255 234,253,255 232,255,255 239,238,255 221,226,255 184,200,243 135,165,214 87,128,190 53,104,184 35,93,196 30,89,215 11,71,215 17,73,228 31,83,237 48,101,241 79,132,249 113,167,255 132,191,255 139,199,255 197,199,255 211,210,255 231,225,255 246,236,255 255,239,255 255,237,255 255,236,249 255,238,238 255,254,247 255,255,243 255,252,235 255,250,232 254,250,232 247,250,234 242,252,236 241,252,236 255,244,247 255,244,249 255,242,253 255,242,255 255,240,255 255,241,255 255,241,255 255,243,255 252,246,255 246,249,255 242,255,255 239,255,249 233,255,238 224,255,225 221,255,218 225,255,219 255,253,255 255,253,255 255,251,255 249,245,251 248,243,252 254,246,255 255,249,255 255,247,255 255,248,255 255,248,255 255,247,255 255,248,255 255,248,255 255,248,255 255,248,255 255,248,255 255,255,255 255,255,255 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 250,250,250 253,253,253 255,255,255 255,255,255 255,255,255 250,250,250 247,247,247 248,248,248 251,251,251 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 253,253,253 254,254,254 254,254,254 251,251,251 249,249,249 245,245,245 250,250,250 253,253,253 252,252,252 253,253,253 255,255,255 255,255,255 254,254,254 244,244,244 245,245,245 247,247,247 249,249,249 251,251,251 253,253,253 253,253,253 253,253,253 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 253,253,253 255,255,255 255,255,255
255,249,255 248,253,255 236,255,255 230,254,246 236,247,227 254,240,221 255,237,236 254,233,255 213,215,255 92,121,196 74,118,181 193,235,255 208,237,252 238,250,255 242,239,255 245,238,255 203,249,255 201,246,255 201,240,255 202,237,255 206,234,255 208,233,255 208,231,255 207,231,255 212,237,255 209,239,255 206,241,255 203,241,255 198,240,255 192,238,255 186,234,255 184,233,255 177,208,255 187,217,255 194,227,255 199,233,255 209,240,255 219,245,255 227,246,255 232,241,255 228,228,255 234,227,255 235,224,255 234,223,255 235,228,249 241,237,242 241,244,235 240,246,227 254,245,231 250,244,233 244,246,240 238,249,253 229,246,255 204,231,255 174,206,255 147,184,255 128,167,255 108,146,255 75,113,231 48,84,202 41,78,190 51,86,190 57,91,185 53,87,177 83,91,204 98,107,218 125,133,240 153,162,255 179,188,255 201,211,255 217,227,255 225,236,255 220,232,255 221,236,255 222,238,255 222,240,255 223,242,255 228,247,254 234,255,255 236,255,255 255,255,242 255,255,242 255,251,240 255,246,237 255,244,237 255,245,239 255,247,241 255,249,243 255,252,245 255,253,244 255,255,242 255,255,239 254,251,230 245,244,218 241,243,214 245,247,217 245,255,232 249,255,236 252,255,238 250,255,237 252,255,240 255,255,247 255,255,250 255,250,251 255,249,254 255,246,255 255,246,255 255,245,255 255,243,255 255,243,255 255,242,255 255,243,255 255,255,255 253,253,253 251,251,251 251,251,251 253,253,253 254,254,254 253,253,253 253,253,253 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 252,252,252 248,248,248 237,237,237 240,240,240 245,245,245 250,250,250 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 255,255,255 254,254,254 251,251,251 249,249,249 247,247,247 252,252,252 254,254,254 252,252,252 251,251,251 253,253,253 254,254,254 252,252,252 245,245,245 246,246,246 248,248,248 251,251,251 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255
255,255,242 251,255,254 233,252,255 225,248,255 235,244,248 255,242,234 255,242,232 255,241,250 236,240,255 150,181,250 52,97,178 124,170,241 196,230,255 218,240,255 218,231,255 214,223,255 132,195,255 122,183,255 108,165,255 92,146,247 80,129,239 69,113,230 58,101,220 51,94,213 36,81,196 37,83,194 38,89,193 39,94,191 39,98,191 38,100,190 38,101,189 37,101,189 27,91,215 27,91,209 32,100,205 46,116,209 59,132,212 69,140,214 78,143,218 88,145,224 113,163,246 123,163,251 133,164,249 143,170,244 162,186,244 188,212,254 212,235,255 222,246,255 231,235,255 228,232,255 227,232,253 229,237,254 235,245,255 237,251,255 233,253,254 230,251,252 217,242,244 220,242,253 215,232,255 203,212,255 195,194,255 188,176,255 171,151,248 152,126,233 76,104,188 69,99,186 57,93,187 44,88,189 34,85,195 28,85,201 24,85,205 22,86,204 69,133,245 96,156,255 134,189,255 167,214,255 188,227,255 202,231,255 208,234,255 213,235,253 243,248,255 244,250,255 248,253,254 250,255,250 255,255,247 255,255,241 255,255,238 255,255,236 255,253,230 255,252,234 255,250,242 255,246,246 255,234,245 255,221,242 255,217,246 255,221,252 237,255,217 241,255,221 245,255,225 243,255,224 245,255,227 250,255,232 251,255,234 249,253,234 253,253,241 254,251,246 254,250,249 255,249,254 255,248,255 255,248,255 255,248,255 255,247,255 255,255,255 253,253,253 251,251,251 251,251,251 253,253,253 254,254,254 253,253,253 253,253,253 254,254,254 254,254,254 253,253,253 252,252,252 251,251,251 250,250,250 250,250,250 249,249,249 241,241,241 244,244,244 248,248,248 252,252,252 254,254,254 254,254,254 253,253,253 252,252,252 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 253,253,253 251,251,251 252,252,252 255,255,255 255,255,255 255,255,255 252,252,252 254,254,254 255,255,255 254,254,254 253,253,253 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254
255,255,223 252,255,240 229,248,255 225,246,255 240,249,255 255,252,252 255,255,240 255,252,249 225,233,255 195,228,255 52,103,197 59,110,207 146,187,255 126,160,226 103,131,185 83,112,157 54,95,211 49,90,206 46,84,202 45,82,202 50,85,205 55,89,209 59,90,211 59,90,211 91,121,240 89,122,239 89,123,237 86,123,235 86,123,233 83,122,231 80,121,230 79,120,229 84,132,220 62,112,200 45,99,186 39,100,186 37,104,189 28,99,187 20,93,185 21,92,189 20,88,189 29,93,195 38,97,196 44,98,192 51,101,184 56,103,177 58,101,168 53,96,159 69,104,190 92,123,208 119,146,226 139,161,232 152,171,228 170,188,229 192,216,236 212,239,243 217,251,241 223,255,246 221,252,251 212,234,252 212,221,255 219,215,255 222,205,255 216,193,255 186,233,255 173,222,255 153,205,251 128,185,240 103,164,230 76,140,218 51,118,203 38,103,195 31,94,186 38,96,185 47,97,179 55,97,168 66,99,162 87,114,165 118,137,182 139,155,197 113,174,238 125,186,248 147,205,255 168,225,255 185,237,255 195,242,255 199,240,255 203,237,255 215,241,255 225,240,255 236,242,255 243,240,255 243,232,255 241,222,255 243,221,255 250,225,255 234,255,240 240,255,243 240,255,243 240,255,240 242,255,238 245,255,239 246,255,237 245,254,233 246,255,235 249,255,236 249,255,238 250,255,240 251,255,243 252,255,245 253,255,246 253,255,246 255,255,255 255,255,255 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 252,252,252 250,250,250 251,251,251 254,254,254 255,255,255 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 252,252,252 249,249,249 246,246,246 255,255,255 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 250,250,250 255,255,255 255,255,255 254,254,254 251,251,251 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 253,253,253 252,252,252 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 250,250,250 250,250,250
255,255,217 250,249,229 237,253,255 215,236,255 236,247,255 251,243,244 255,250,239 255,251,251 224,234,255 192,229,255 85,139,240 30,87,196 43,94,191 56,100,183 67,109,180 89,131,196 119,122,207 149,153,236 171,175,254 188,191,255 213,216,255 229,232,255 228,230,255 226,228,255 227,229,255 228,227,255 225,226,255 225,225,255 225,224,255 222,222,255 219,218,255 214,215,255 224,231,246 226,236,254 228,239,255 224,240,255 214,235,255 199,226,255 182,216,255 170,208,255 174,217,255 149,193,252 136,182,240 134,177,240 124,164,229 112,147,220 100,132,208 83,114,193 15,77,191 26,83,199 36,84,209 43,82,210 49,81,211 56,85,213 58,90,209 55,95,201 46,97,189 55,114,194 71,137,208 88,154,225 99,162,236 110,166,247 123,173,255 137,181,255 181,231,253 196,245,255 188,232,255 195,236,255 209,244,255 208,238,255 212,237,255 207,227,255 198,216,253 174,190,232 149,164,210 133,147,195 120,134,186 103,117,170 86,101,157 78,93,149 13,99,199 10,94,196 9,90,195 13,88,196 16,86,199 28,94,207 55,115,229 81,135,249 88,137,247 111,156,255 119,163,255 139,181,255 156,196,255 167,209,255 187,229,255 185,226,255 217,230,255 218,229,255 222,232,255 228,238,255 231,239,255 233,240,255 235,243,255 244,250,255 249,255,254 249,255,250 251,255,248 251,255,245 250,255,242 249,255,240 248,255,239 248,255,238 247,247,247 249,249,249 255,255,255 255,255,255 252,252,252 255,255,255 255,255,255 247,247,247 251,251,251 250,250,250 249,249,249 251,251,251 255,255,255 255,255,255 255,255,255 252,252,252 255,255,255 253,253,253 247,247,247 250,250,250 255,255,255 255,255,255 252,252,252 243,243,243 255,255,255 252,252,252 251,251,251 255,255,255 255,255,255 251,251,251 252,252,252 255,255,255 254,254,254 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 251,251,251 244,244,244 254,254,254 255,255,255 253,253,253 253,253,253 255,255,255 255,255,255 247,247,247 244,244,244 244,244,244
255,255,226 251,247,228 241,255,255 224,248,255 241,254,255 248,243,242 255,248,249 255,245,255 213,225,255 98,138,221 62,121,220 35,99,194 37,95,184 66,118,201 130,178,255 146,195,255 230,219,255 254,243,255 255,245,255 244,236,247 250,245,244 255,255,247 255,255,238 255,252,229 255,255,238 255,255,238 255,250,238 255,245,239 255,243,244 255,245,249 255,245,254 255,246,255 255,255,233 255,255,237 255,255,244 255,251,250 255,247,255 255,244,255 253,244,254 248,244,250 237,241,242 238,250,250 239,255,255 225,245,255 195,214,251 183,200,255 192,206,255 200,213,255 79,151,255 79,144,255 68,126,255 54,101,255 41,82,255 37,74,255 35,76,255 29,78,255 31,89,255 5,75,253 0,68,225 0,81,211 5,92,196 9,97,174 23,106,167 38,121,172 79,113,167 107,139,192 125,152,202 149,172,218 165,181,224 183,191,231 221,224,255 238,237,255 219,218,255 210,209,249 206,207,251 213,217,255 218,226,255 211,222,255 197,211,255 185,203,255 127,181,255 114,167,254 100,151,243 91,140,238 79,127,233 61,107,219 45,89,206 37,81,198 39,86,201 50,99,207 42,94,194 43,99,188 38,100,178 35,100,168 44,112,171 35,104,161 112,112,220 112,113,217 132,131,229 157,157,247 173,172,252 184,181,250 211,208,255 242,241,255 241,243,255 243,247,255 246,251,255 245,254,255 244,255,252 244,255,249 241,255,245 241,255,244 255,255,255 255,255,255 255,255,255 253,253,253 248,248,248 251,251,251 255,255,255 251,251,251 240,240,240 241,241,241 243,243,243 248,248,248 253,253,253 254,254,254 251,251,251 248,248,248 247,247,247 251,251,251 255,255,255 255,255,255 255,255,255 249,249,249 244,244,244 241,241,241 255,255,255 253,253,253 252,252,252 255,255,255 255,255,255 252,252,252 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 254,254,254 254,254,254 252,252,252 253,253,253 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 251,251,251 233,233,233 245,245,245 251,251,251 245,245,245 243,243,243 250,250,250 255,255,255 254,254,254 254,254,254 254,254,254
