50 170
238,252,255 242,253,255 247,254,255 254,255,251 255,255,247 255,255,244 255,255,243 255,255,244 252,255,245 246,255,245 240,254,248 238,255,249 239,255,249 237,255,245 235,253,240 231,250,235 249,254,253 252,254,254 255,255,254 255,255,252 255,254,249 255,252,245 255,255,246 255,255,248 255,255,249 255,255,248 255,255,251 251,254,252 246,254,254 245,254,255 242,254,255 241,255,255 255,246,255 255,249,255 255,249,255 255,246,252 255,245,251 255,251,253 255,254,254 254,255,253 253,255,252 250,254,248 248,254,243 251,255,245 254,255,243 252,255,237 250,255,234 253,255,235 250,250,250 247,247,247 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 248,248,248 255,255,255 245,245,245 255,255,255 249,249,249 248,248,248 255,255,255 243,243,243 253,253,253 254,255,251 239,240,236 255,255,252 249,250,246 35,36,34 0,1,0 82,85,83 152,154,154 214,219,218 233,237,238 249,254,255 250,255,255 249,254,255 250,255,255 246,253,255 241,248,251 247,245,255 248,244,255 247,241,255 249,240,255 255,243,255 244,230,242 201,184,193 157,139,146 153,136,140 91,76,80 61,47,53 7,0,4 10,2,12 4,0,11 0,0,8 1,2,16 0,0,13 5,11,24 41,45,50 80,84,79 133,135,123 199,203,184 244,251,230 247,255,238 239,255,240 236,255,244 231,255,247 223,255,243 224,255,243 227,255,244 230,255,244 229,255,239 252,253,251 249,252,250 249,252,250 251,254,252 251,255,254 251,255,254 247,252,250 244,249,247 251,255,254 250,255,253 252,255,253 252,255,253 255,255,252 255,255,252 255,255,251 254,253,249 252,252,252 255,255,255 255,255,255 253,253,253 248,248,248 248,248,248 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 254,254,254 252,252,252 252,252,252 254,254,254 255,255,255 252,252,252 254,254,254 253,253,253 252,252,252 254,254,254 255,255,255 255,255,255 255,255,255 252,252,252 255,255,255 251,251,251 244,244,244 251,251,251 252,252,252 249,249,249 252,252,252 255,255,255 255,255,255
240,252,255 243,253,255 249,254,255 254,255,251 255,255,247 255,255,244 255,255,244 255,255,246 253,255,247 247,254,249 242,253,251 238,252,250 237,252,248 234,250,243 231,246,238 229,243,232 248,253,255 249,254,255 251,255,255 253,255,254 255,255,251 255,253,248 255,254,249 255,255,249 255,255,250 255,255,250 255,254,250 251,254,252 248,254,253 246,253,255 245,254,255 243,254,255 255,249,249 255,252,252 255,252,254 255,251,252 255,252,253 255,255,255 253,255,255 252,254,254 251,255,254 250,255,253 249,253,248 248,249,245 249,249,243 253,251,243 255,255,248 255,255,249 255,255,255 253,253,253 253,253,253 252,252,252 246,246,246 250,250,250 255,255,255 250,250,250 255,255,255 243,243,243 241,241,241 226,226,226 232,232,232 251,251,251 247,247,247 255,255,255 241,242,238 255,255,252 251,252,248 249,250,248 36,37,35 0,1,0 71,74,72 208,210,210 240,245,244 251,255,255 251,255,255 231,235,236 236,241,242 250,255,255 243,248,249 200,205,208 161,164,179 130,131,145 92,92,104 62,59,68 25,18,25 7,0,1 9,0,0 36,24,24 11,0,0 11,0,0 24,14,14 30,24,25 63,60,62 102,100,106 134,136,144 172,174,182 221,224,238 237,239,249 253,254,255 254,250,249 243,240,232 249,247,236 255,255,247 255,255,248 250,255,251 242,255,252 231,247,246 219,237,238 218,236,237 227,243,242 235,249,247 238,251,249 255,254,255 253,255,255 252,254,255 248,250,251 244,246,247 241,243,244 241,243,244 241,243,243 249,251,251 248,250,250 247,249,249 248,248,248 249,249,249 251,251,251 255,254,254 255,255,255 247,247,247 251,251,251 251,251,251 243,243,243 233,233,233 230,230,230 239,239,239 249,249,249 253,253,253 252,252,252 252,252,252 253,253,253 253,253,253 253,253,253 252,252,252 251,251,251 249,249,249 250,250,250 250,250,250 250,250,250 251,251,251 252,252,252 252,252,252 251,251,251 251,251,251 254,254,254 254,254,254 252,252,252 253,253,253 255,255,255 254,254,254 249,249,249 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 245,245,245 241,241,241 255,255,255 255,255,255 255,255,255
243,254,255 245,254,255 250,255,254 254,255,251 255,255,248 255,255,247 255,255,248 255,255,250 255,255,254 250,255,255 247,254,255 244,253,255 244,253,255 243,251,251 241,247,246 239,244,243 241,252,255 246,255,255 248,255,255 250,255,255 251,255,255 252,254,254 254,255,253 255,255,254 253,254,250 253,254,250 252,253,251 250,253,251 250,253,251 248,253,252 248,254,253 248,254,253 255,254,244 255,255,246 255,255,247 253,255,247 253,255,251 251,255,252 248,255,252 241,247,246 243,248,249 250,253,255 249,250,254 238,236,242 233,229,235 243,235,242 254,243,253 255,247,255 250,250,250 247,247,247 255,255,255 255,255,255 255,255,255 255,255,255 251,251,251 239,239,239 251,251,251 247,247,247 251,251,251 242,242,242 247,247,247 255,255,255 255,255,255 255,255,255 253,254,252 252,253,251 251,252,250 252,253,251 209,210,208 66,67,65 0,1,0 0,2,0 35,37,37 96,98,98 144,146,146 124,129,128 65,70,69 18,23,22 0,4,3 0,2,1 0,4,0 0,4,0 0,3,0 0,4,0 24,28,17 66,67,57 105,105,93 127,125,114 202,200,189 219,217,207 250,248,240 255,255,251 255,254,250 255,255,254 245,248,246 251,255,255 246,244,250 250,246,251 255,253,254 255,255,252 255,255,249 255,255,249 255,253,249 255,248,249 254,247,254 248,244,255 240,237,253 233,229,248 236,229,250 251,239,255 255,247,255 255,247,255 220,219,228 233,230,239 246,243,252 253,251,255 253,251,255 250,249,253 248,247,251 250,247,249 255,253,255 255,252,254 251,250,252 247,246,250 245,244,248 247,246,250 255,253,255 255,253,255 253,253,253 255,255,255 255,255,255 248,248,248 235,235,235 232,232,232 242,242,242 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 254,254,254 255,255,255 255,255,255 255,255,255 253,253,253 248,248,248 250,250,250 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 254,254,254 249,249,249 244,244,244 235,235,235 224,224,224 231,231,231 249,249,249 252,252,252 249,249,249 255,255,255 255,255,255 255,255,255
247,255,254 249,255,253 252,255,251 254,255,250 255,255,250 255,255,250 255,255,251 255,254,254 252,253,255 250,252,255 249,250,255 250,251,255 253,252,255 255,252,255 255,250,255 253,249,255 240,252,255 243,255,255 244,254,255 243,254,255 245,254,255 248,255,255 250,255,255 248,253,254 249,254,253 250,252,252 250,253,251 251,252,250 251,252,248 252,253,249 252,253,249 253,254,250 248,255,243 248,255,243 246,255,245 245,255,245 247,255,248 245,255,251 236,247,244 227,235,235 224,228,233 240,242,250 247,246,255 238,231,246 235,225,241 249,235,253 255,246,255 255,247,255 252,252,252 247,247,247 252,252,252 255,255,255 251,251,251 251,251,251 249,249,249 238,238,238 253,253,253 255,255,255 255,255,255 249,249,249 245,245,245 250,250,250 247,247,247 245,245,245 255,255,254 240,241,239 164,165,163 159,160,158 141,142,140 68,69,67 0,1,0 2,3,1 1,2,0 0,1,0 0,1,0 0,1,0 2,3,1 3,4,2 7,8,6 13,14,12 92,108,84 147,163,139 202,218,194 227,241,217 236,248,226 247,255,237 253,255,242 247,255,236 243,249,232 249,254,239 247,251,239 255,255,248 242,245,236 252,255,246 240,242,236 249,251,245 255,255,249 255,253,245 252,247,238 255,253,244 255,255,248 255,255,249 255,246,244 255,244,247 255,250,255 255,248,255 255,244,255 255,235,255 255,230,255 255,229,255 255,227,254 255,223,250 228,227,237 237,233,244 248,245,254 255,253,255 255,253,255 255,254,255 255,250,251 253,247,248 255,252,251 255,251,252 255,250,251 247,244,246 239,238,240 236,237,241 243,243,249 248,251,255 252,252,252 255,255,255 255,255,255 251,251,251 243,243,243 242,242,242 249,249,249 255,255,255 254,254,254 255,255,255 255,255,255 254,254,254 253,253,253 253,253,253 254,254,254 255,255,255 255,255,255 253,253,253 251,251,251 254,254,254 255,255,255 252,252,252 242,242,242 234,234,234 245,245,245 251,251,251 254,254,254 253,253,253 253,253,253 254,254,254 253,253,253 250,250,250 234,234,234 242,242,242 237,237,237 234,234,234 249,249,249 255,255,255 254,254,254 250,250,250 255,255,255 255,255,255
252,255,250 252,255,250 254,255,250 254,255,251 254,255,253 254,254,254 254,253,255 252,252,255 249,248,255 248,247,255 249,245,255 252,245,255 255,247,255 255,247,255 255,246,255 255,244,255 241,253,255 243,255,255 244,255,255 240,251,255 240,251,255 244,255,255 246,255,255 243,252,255 246,254,254 247,252,253 250,252,252 251,252,248 253,253,247 255,253,248 255,254,246 255,255,247 242,255,247 242,255,247 242,255,249 241,255,248 243,255,251 243,255,253 234,247,245 225,235,235 223,229,234 244,246,254 253,252,255 249,242,255 246,235,251 254,241,255 255,244,255 255,239,255 255,255,255 252,252,252 251,251,251 253,253,253 251,251,251 255,255,255 255,255,255 253,253,253 244,244,244 247,247,247 241,241,241 229,229,229 202,202,202 155,155,155 104,104,104 63,63,63 0,1,0 14,15,13 0,1,0 5,6,4 0,1,0 0,1,0 10,11,9 37,38,36 84,85,83 114,113,109 108,107,103 56,55,51 12,11,7 6,5,1 8,7,3 2,1,0 0,11,0 6,22,0 43,61,32 94,111,84 129,145,121 152,167,146 186,200,182 220,233,217 249,255,246 251,255,248 239,247,237 253,255,249 246,248,242 255,255,251 255,255,251 255,255,251 252,254,235 255,255,242 255,255,242 255,255,239 253,252,238 240,239,229 236,233,228 253,248,247 249,242,245 255,245,253 255,247,255 255,245,255 255,247,255 255,247,255 255,247,255 255,242,255 231,230,239 228,228,234 230,229,233 238,235,237 251,246,245 255,254,251 255,255,249 255,255,249 255,254,245 255,255,248 255,255,249 254,254,248 246,247,243 241,244,242 243,248,247 247,253,252 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 253,253,253 253,253,253 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 253,253,253 255,255,255 255,255,255 255,255,255 253,253,253 251,251,251 254,254,254 255,255,255 252,252,252 242,242,242 234,234,234 252,252,252 255,255,255 255,255,255 255,255,255 254,254,254 255,255,255 255,255,255 255,255,255 222,222,222 240,240,240 252,252,252 255,255,255 254,254,254 245,245,245 245,245,245 255,255,255 255,255,255 255,255,255
255,255,248 255,255,248 255,255,251 254,255,253 252,254,254 250,253,255 250,253,255 252,251,255 253,252,255 253,249,255 255,248,255 255,246,255 255,247,255 255,247,255 255,244,255 255,243,254 246,254,254 248,255,255 246,254,254 237,246,249 239,248,251 244,255,255 244,255,255 242,251,254 246,253,255 248,253,254 248,253,252 252,253,251 254,254,248 255,254,246 255,255,246 255,255,246 240,251,255 242,253,255 242,253,255 242,253,255 246,255,255 246,255,255 244,253,255 239,247,247 221,226,227 236,240,241 250,249,251 252,249,251 255,251,253 255,252,255 255,252,255 255,249,255 241,241,241 243,243,243 255,255,255 255,255,255 239,239,239 204,204,204 163,163,163 126,126,126 113,113,113 72,72,72 14,14,14 0,0,0 0,0,0 0,0,0 8,8,8 6,6,6 22,24,24 39,41,41 90,92,92 112,112,112 172,173,171 191,192,190 255,255,254 247,245,244 230,229,225 253,252,248 255,255,252 255,255,250 232,229,224 199,196,191 156,153,148 120,117,112 68,78,55 35,48,24 0,12,0 0,7,0 0,6,0 0,13,2 3,16,8 3,14,11 7,18,16 41,49,48 67,72,71 112,114,114 140,138,138 168,163,164 193,185,185 198,190,190 245,251,232 255,255,242 247,255,238 240,249,236 250,255,248 242,253,243 231,242,234 243,251,244 251,255,251 255,255,251 255,255,248 255,250,243 255,248,241 255,250,242 255,251,243 255,248,238 251,255,255 253,255,255 255,255,254 255,255,251 255,255,248 255,255,246 248,243,228 237,230,213 255,254,235 255,255,238 255,255,242 255,255,244 251,255,243 248,255,244 248,255,246 248,255,248 255,255,255 253,253,253 252,252,252 254,254,254 255,255,255 255,255,255 250,250,250 244,244,244 252,252,252 254,254,254 255,255,255 253,253,253 250,250,250 250,250,250 253,253,253 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 255,255,255 253,253,253 249,249,249 252,252,252 255,255,255 255,255,255 249,249,249 245,245,245 248,248,248 252,252,252 253,253,253 255,255,255 251,251,251 243,243,243 253,253,253 253,253,253 230,230,230 227,227,227 253,253,253 255,255,255 255,255,255
255,255,248 255,255,250 255,254,253 254,253,255 250,253,255 249,252,255 249,252,255 250,252,255 255,253,255 255,253,255 255,251,254 255,250,253 255,250,254 255,251,255 255,249,255 255,247,254 255,255,250 255,255,251 250,251,247 239,243,238 239,244,242 249,255,254 248,255,255 244,252,252 247,255,255 249,255,254 249,254,253 253,254,252 255,254,250 255,254,249 255,255,248 255,255,248 246,244,255 249,247,255 250,249,255 248,248,255 249,249,255 251,253,255 251,254,255 250,255,254 253,255,254 253,255,251 255,255,249 255,255,247 255,255,245 251,251,239 244,242,231 237,235,224 179,179,179 136,136,136 84,84,84 38,38,38 5,5,5 0,0,0 4,4,4 1,1,1 0,0,0 0,0,0 4,4,4 61,61,61 109,109,109 138,138,138 188,188,188 215,215,215 233,235,235 253,255,255 236,238,238 255,255,255 234,234,234 255,255,254 255,255,254 250,248,247 255,255,252 252,249,245 246,243,239 255,254,249 255,255,251 255,255,250 255,252,247 255,255,250 239,240,231 255,255,249 253,254,250 205,210,208 153,158,159 113,120,123 74,82,89 44,51,60 0,0,7 3,8,17 0,0,9 0,0,6 6,0,6 7,0,3 23,9,13 13,0,2 0,3,0 10,16,11 0,3,0 0,6,5 29,47,48 46,65,68 42,62,63 51,70,67 100,116,109 111,125,113 126,136,120 143,147,128 162,164,142 186,184,160 202,198,174 206,202,178 179,185,184 189,194,192 208,212,207 232,235,226 252,252,240 255,255,242 251,249,231 245,241,222 255,253,232 255,255,231 253,255,232 253,255,236 249,255,236 247,255,238 245,255,239 243,255,239 255,255,255 253,253,253 251,251,251 251,251,251 252,252,252 250,250,250 246,246,246 242,242,242 247,247,247 249,249,249 250,250,250 247,247,247 244,244,244 243,243,243 248,248,248 253,253,253 253,253,253 253,253,253 253,253,253 254,254,254 255,255,255 255,255,255 255,255,255 255,255,255 246,246,246 249,249,249 247,247,247 240,240,240 237,237,237 244,244,244 254,254,254 255,255,255 248,248,248 255,255,255 255,255,255 255,255,255 252,252,252 235,235,235 227,227,227 237,237,237 255,255,255 255,255,255
255,254,250 255,254,251 255,253,254 252,252,255 249,252,255 247,252,255 247,253,255 250,253,255 249,249,249 252,247,244 255,247,240 255,249,242 255,251,244 255,251,249 255,252,252 255,250,252 255,255,247 255,255,247 255,251,240 243,241,231 245,243,235 253,255,249 253,255,252 247,252,250 251,255,254 250,255,253 250,255,253 251,254,252 253,254,252 255,254,253 255,254,253 255,255,252 255,241,255 255,245,255 255,246,255 253,243,255 252,243,255 255,249,255 255,253,255 255,255,251 251,252,243 221,223,211 179,185,168 140,146,127 100,107,86 57,64,43 20,28,5 0,8,0 10,10,10 0,0,0 0,0,0 0,0,0 0,0,0 6,6,6 8,8,8 0,0,0 9,9,9 69,69,69 147,147,147 241,241,241 255,255,255 235,235,235 245,245,245 255,255,255 253,255,255 253,255,255 240,242,242 249,249,249 253,253,253 251,251,251 255,255,254 252,250,249 246,244,243 255,255,252 255,255,252 249,246,242 253,249,244 255,255,251 255,255,251 247,243,238 239,228,236 236,228,235 244,236,246 255,251,255 253,251,255 243,244,255 235,238,253 240,243,255 235,238,253 234,234,248 214,212,224 194,186,197 188,177,185 145,131,137 133,118,122 90,73,76 63,57,68 73,71,83 35,38,53 0,0,18 0,1,23 0,2,23 0,0,14 0,11,22 0,1,4 0,6,2 0,10,0 0,9,0 0,9,0 1,12,0 0,9,0 0,6,0 0,5,12 0,2,9 0,0,5 0,0,3 0,0,0 2,1,0 4,1,0 4,3,0 9,9,0 5,8,0 1,7,0 0,8,0 0,10,0 0,12,0 0,11,0 0,10,0 4,4,4 5,5,5 4,4,4 2,2,2 0,0,0 0,0,0 0,0,0 0,0,0 1,1,1 3,3,3 4,4,4 1,1,1 0,0,0 0,0,0 2,2,2 7,7,7 2,2,2 2,2,2 1,1,1 0,0,0 0,0,0 0,0,0 0,0,0 2,2,2 2,2,2 5,5,5 4,4,4 0,0,0 0,0,0 9,9,9 24,24,24 32,32,32 71,71,71 178,178,178 255,255,255 255,255,255 242,242,242 247,247,247 254,254,254 255,255,255 255,255,255 255,255,255
255,253,254 254,241,243 234,228,233 231,230,240 239,243,254 245,252,255 243,249,254 237,242,241 244,245,236 251,248,234 242,235,218 243,236,219 255,255,245 255,255,248 251,250,246 255,255,254 255,249,240 255,254,244 255,255,247 255,252,242 241,234,225 255,255,248 255,253,245 250,251,242 254,255,250 248,252,247 241,244,242 240,242,242 248,250,250 253,255,255 255,254,255 247,246,250 255,246,255 255,239,255 255,245,255 252,235,246 203,189,195 156,145,147 114,107,104 72,69,61 11,11,0 5,8,0 2,8,0 6,12,0 3,12,0 0,8,0 0,10,0 5,17,0 0,0,0 12,12,12 26,26,26 56,56,56 102,102,102 137,137,137 183,183,183 242,242,242 249,249,249 249,249,249 249,249,249 250,250,250 252,252,252 254,254,254 255,255,255 255,255,255 253,255,255 244,243,245 233,232,234 233,233,233 243,243,243 253,253,253 255,255,255 255,254,253 255,254,253 254,252,251 255,253,252 255,254,253 255,255,252 255,254,250 255,254,250 255,255,252 244,226,243 239,223,240 248,235,251 255,245,255 250,243,255 250,245,255 253,250,255 251,251,255 237,238,248 249,248,255 255,253,255 255,254,255 255,254,254 255,254,252 255,255,251 255,247,244 255,237,254 255,242,255 252,244,255 243,244,255 239,247,255 236,247,255 214,227,253 184,198,217 171,180,193 191,200,204 188,194,193 150,155,153 120,127,124 114,125,123 117,129,131 113,125,129 56,58,89 45,47,78 51,53,83 61,62,90 55,54,80 52,49,74 60,58,80 66,66,84 49,49,63 55,57,67 58,62,67 60,65,68 56,64,63 53,64,61 63,75,69 49,62,54 69,69,69 62,62,62 55,55,55 54,54,54 59,59,59 65,65,65 68,68,68 67,67,67 65,65,65 64,64,64 58,58,58 53,53,53 59,59,59 68,68,68 68,68,68 61,61,61 64,64,64 73,73,73 64,64,64 45,45,45 73,73,73 49,49,49 34,34,34 0,0,0 8,8,8 0,0,0 3,3,3 10,10,10 0,0,0 0,0,0 1,1,1 6,6,6 1,1,1 1,1,1 7,7,7 73,73,73 132,132,132 246,246,246 255,255,255 241,241,241 255,255,255 255,255,255
255,250,253 255,242,248 242,234,244 236,234,246 239,242,255 243,250,255 246,253,255 249,253,248 239,239,225 253,250,229 255,255,238 255,255,237 245,246,230 245,252,245 239,251,251 214,229,232 255,253,254 242,228,229 241,229,227 255,255,251 255,255,249 252,245,236 246,241,232 255,255,248 255,255,248 255,255,251 255,255,252 253,255,255 246,250,251 227,230,235 195,198,206 168,170,180 132,113,116 89,70,73 52,34,35 26,11,9 14,0,0 17,6,0 25,16,6 11,5,0 15,13,2 6,6,0 0,4,0 3,8,0 22,29,22 56,66,60 104,113,110 139,150,148 206,206,206 228,228,228 243,243,243 255,255,255 255,255,255 249,249,249 239,239,239 254,254,254 251,251,251 251,251,251 251,251,251 251,251,251 252,252,252 254,254,254 255,255,255 255,255,255 254,253,255 244,243,245 235,234,236 236,235,237 245,245,245 252,252,252 252,252,252 248,248,248 255,255,255 255,255,255 254,254,254 255,255,255 254,254,254 253,253,253 252,252,252 253,253,253 255,243,255 255,243,255 255,250,255 255,251,255 255,248,255 252,246,251 250,247,249 240,238,237 252,253,249 255,255,249 253,254,244 251,251,239 251,249,238 255,254,240 255,255,243 255,255,244 255,252,252 255,251,255 255,241,252 243,235,252 236,237,255 235,239,255 240,244,255 246,247,255 253,250,255 255,254,255 255,254,255 255,252,255 252,249,255 246,246,255 236,242,255 228,237,255 86,82,147 77,73,138 91,87,152 116,112,178 132,128,194 149,148,212 173,172,234 188,186,245 218,218,255 231,231,255 230,232,255 236,238,255 239,243,255 245,249,255 233,238,253 241,247,255 251,251,251 246,246,246 240,240,240 240,240,240 245,245,245 249,249,249 251,251,251 250,250,250 251,251,251 244,244,244 235,235,235 232,232,232 240,240,240 250,250,250 253,253,253 250,250,250 255,255,255 219,219,219 255,255,255 255,255,255 118,118,118 23,23,23 0,0,0 19,19,19 0,0,0 0,0,0 6,6,6 4,4,4 0,0,0 4,4,4 6,6,6 0,0,0 4,4,4 1,1,1 12,12,12 0,0,0 7,7,7 45,45,45 127,127,127 255,255,255 255,255,255 255,255,255
